Species,Family,Country
lucina (Drury),Brahmaeidae,"['Angola', 'Congo', 'Gabon', 'South Africa', 'Zambia']"
laisalis (Walker),Crambidae,"['Niger', 'Nigeria']"
"madagacariensis
(Boisduval)Erebidae",Erebidae Arctiinae,['Madagascar']
variegata Rothschild,Eupterotidae,['South Africa']
edulis (Boisduval),Eupterotidae,['']
libeon (Druce),Hesperiidae,['Congo']
pallida Distant,Lasiocampidae,['South Africa']
cajani Vinson,Lasiocampidae,['Madagascar']
"madagascariensis
Boisduval",Lasiocampidae,['Madagascar']
jamesoni Bethune-Baker,Lasiocampidae,['Zambia']
postica Walker,Lasiocampidae,"['Botswana', 'South Africa', 'Zambia']"
aff. knoblauchi Dew.,Lasiocampidae,['']
robusta Aurivillius,Lasiocampidae,['Zimbabwe']
bilinea Walker,Lasiocampidae,['Zambia']
ethiopica (Bethune-Baker),Limacodidae,['Zambia']
poecilanthes (Collenette),Lymantriidae,['Congo']
fusca (Fuller),Noctuidae,['Zambia']
"armigera armigera
(Hübner)",Noctuidae,['Zambia']
prasinodes Prout,Noctuidae,['Congo']
chlorea (Cramer),Noctuidae,['Zambia']
exempta (Walker),Noctuidae,['Zambia']
exigua (Hübner),Noctuidae,['Zambia']
infracta Walsingham syn,"Notodontidae
Thaumetopoeinae",['Zambia']
panda (Boisduval),Notodontidae Thaumetopoeinae,"['Congo', 'Niger', 'Nigeria', 'Zimbabwe']"
reticulata Walker,"Notodontidae
Thaumetopoeinae","['Niger', 'Nigeria']"
venata Butler,Notodontidae Thaumetopoeinae,"['Niger', 'Nigeria', 'Sierra Leone', 'Zambia']"
insignata Gaede,Notodontidae,['Congo']
c.f. marshalli (Hampson),Notodontidae,['']
uniformis (Swinhoe),Notodontidae,['Congo']
lactea (Gaede),Notodontidae,['Congo']
carteri (Walsingham),"Notodontidae
Thaumetopoeinae","['Angola', 'Congo', 'Gabon', 'Zambia']"
diego Coquerel,Notodontidae,['Madagascar']
radama Coquerel,Notodontidae,['Madagascar']
cajani Vinson,Notodontidae,['Madagascar']
comma Hopffer,Notodontidae,['Zambia']
mediata Walker,Notodontidae,['Congo']
aramis Hewitson,Nymphalidae,['']
caenis (Drury),Nymphalidae,['Congo']
moddermanni Heylaerts,Psychidae,['']
malgassa Heylaerts,Psychidae,['Madagascar']
cervina Druce,Psychidae,"['Angola', 'Congo', 'Gabon']"
rougeoti Bourgogne,Psychidae,['Congo']
suraka (Boisd.),Saturniidae,['']
monippe,Saturniidae,['Gabon']
teffraria,Saturniidae,['Gabon']
mimosae (Boisduval),Saturniidae,['South Africa']
gigas (Sonthonnax),Saturniidae,['Congo']
semialba (Sonthonnax),Saturniidae,['Congo']
alcinoë (Stoll),Saturniidae,"['Congo', 'Gabon', 'South Africa', 'Zambia', 'Zimbabwe']"
aslauga Kirby,Saturniidae,['']
caffraria (Stoll),Saturniidae,"['Congo', 'Zimbabwe']"
aurantiaca (Rothschild),Saturniidae,"['Congo', 'Zambia']"
hyperbius (Westwood),Saturniidae,"['Congo', 'Zambia']"
forda (Westwood),Saturniidae,"['Burkina Faso', 'Congo', 'Niger', 'Nigeria', 'Zambia']"
butyrospermi (Vuillot),Saturniidae,"['Congo', 'Mali', 'Niger', 'Nigeria']"
bauhiniae (Guérin),Saturniidae,['Congo']
kuntzei (Dewitz),Saturniidae,"['Congo', 'Zimbabwe']"
ata Strand,Saturniidae,"['Congo', 'Malawi', 'Zambia']"
maja (Klug),Saturniidae,"['Malawi', 'Namibia', 'South Africa', 'Zambia']"
apollonia (Cramer),Saturniidae,['South Africa']
dyops (Maassen),Saturniidae,['']
marnois (Rogenhofer),Saturniidae,['']
agomensis (Karsch),Saturniidae,['Zambia']
alopia (Westwood),Saturniidae,['Congo']
anthina (Karsch),Saturniidae,['Congo']
aurantiaca (Rothschild),Saturniidae,['Congo']
belina (Westwood),Saturniidae,"['Malawi', 'South Africa', 'Zambia', 'Zimbabwe']"
butyrospermi Vuillot,Saturniidae,"['Congo', 'Mali', 'Niger', 'Nigeria', 'South Africa']"
cytherea (Fabr.),Saturniidae,['Zambia']
dione (Fabr.),Saturniidae,['Congo']
eblis Strecker syn,Saturniidae,['Congo']
epimethea (Drury),Saturniidae,"['Congo', 'Zambia']"
ertli Rebel,Saturniidae,"['Angola', 'Congo', 'Zimbabwe']"
forda Westwood,Saturniidae,['Congo']
hecate Rougeot,Saturniidae,['Congo']
macrothyris (Rothchild),Saturniidae,['Congo']
melanops (Bouvier),Saturniidae,['Congo']
nictitans (F.),Saturniidae,['Congo']
obscura Butler,Saturniidae,['Congo']
oyemensis (Rougeot) syn,Saturniidae,['Congo']
petiveri Guérin-M.,Saturniidae,['Congo']
rectilineata (Sonthoanax),Saturniidae,['Congo']
rhodina Rothsch.,Saturniidae,['Congo']
richelmanni Weymer,Saturniidae,['Congo']
rubra (Bouvier) syn,Saturniidae,"['Congo', 'Zambia']"
truncata Aurivillius,Saturniidae,['Congo']
tyrrhea (Cramer),Saturniidae,"['Congo', 'Namibia']"
wahlbergi Boisduval,Saturniidae,['Congo']
zambesina (Walker),Saturniidae,"['Congo', 'Zambia']"
angasana (Westwood),Saturniidae,"['Congo', 'Zambia']"
christyi (Sharpe),Saturniidae,['']
goodi (Holland),Saturniidae,['Congo']
phaedusa (Drury),Saturniidae,['Congo']
saturnus (F.),Saturniidae,"['Congo', 'Zambia']"
menippe (Westwood),Saturniidae,"['Gabon', 'South Africa']"
nereis (Rothchild),Saturniidae,['Congo']
parva (Rothchild),Saturniidae,"['Congo', 'Zambia']"
ansorgei (Rothchild),Saturniidae,['Congo']
cana (Aurivillius),Saturniidae,"['Congo', 'South Africa']"
herilla (Westwood),Saturniidae,['']
eblis (Strecker),Saturniidae,['Congo']
melanops (Bouvier),Saturniidae,['Congo']
discrepans (Butler),Saturniidae,['Congo']
arnobia (Westwood),Saturniidae,['Congo']
irius (F.),Saturniidae,['Namibia']
"pygmaea (Maassen &
Weyding)",Saturniidae,['Namibia']
marchii !! check,Saturniidae,['Gabon']
flavinata (Walker),Saturniidae,['Congo']
natalensis Felder,Saturniidae,['Congo']
sinope (Westwood),Saturniidae,"['Congo', 'Gabon', 'South Africa', 'Zimbabwe']"
"terpsichore (Maassen and
Weymer)",Saturniidae,"['Angola', 'Congo']"
"wallengrennii (Felder &
Felder)",Saturniidae,['Namibia']
atropos (L.),Sphingidae,['Congo']
convolvuli (L.),Sphingidae,"['Botswana', 'Zambia']"
fulvinotata (Butler),Sphingidae,['']
eson (Cramer),Sphingidae,['Congo']
dumolinii (Angas),Sphingidae,['Botswana']
comma Hopffer,Sphingidae,['Zambia']
stigmatica (Mabille),Sphingidae,"['Congo', 'Zambia']"
arteriosa (Burm.),Libellulidae,['Congo']
ruficornis (Fabr.),Acrididae,"['Congo', 'Malawi', 'Niger', 'Zambia', 'Zimbabwe']"
ruficornis citrina (Serville),Acrididae,"['Benin', 'Burkina Faso', 'Mali', 'Niger']"
clara (Walker),Acrididae,['']
glaucopsis (Walker),Acrididae,['']
nigrovariegata (Bolivar),Acrididae,['Zambia']
picta Krauss,Acrididae,['']
bicolor (Thunberg),Acrididae,['Zimbabwe']
"sulphuripennis
(Gerstäcker)",Acrididae,['Zambia']
turrita (L.),Acrididae,['']
strenua (Walker),Acrididae,['Niger']
blondeli Saussure,Acrididae,['Niger']
longipes (Charpentier),Acrididae,['Niger']
procera (Burmeister),Acrididae,['Congo']
"thalassinus thalassinus
(F.)",Acrididae,['Togo']
burri Dirsh & Uvarov,Acrididae,['']
wernerellum (Karny),Acrididae,['Niger']
melanorhodon (Walker),Acrididae,['Niger']
tryxalicerus (Fischer),Acrididae,['']
guttatus (Uvarov) syn,Acrididae,['Zambia']
nigropunctatus (Bolivar),Acrididae,['Zambia']
cymbiferus (Krauss),Acrididae,['']
fuscocoeruleipus Sjöstedt,Acrididae,['']
spissus Walker,Acrididae,['Congo']
ornata Karny,Acrididae,['Zambia']
quadratus (Walker),Acrididae,['']
compta (Walker),Acrididae,['Congo']
stenoptera (Schaum),Acrididae,['Congo']
haemorrhoidalis Krauss,Acrididae,['Niger']
aeruginosa (Stoll),Acrididae,"['Malawi', 'Niger', 'Nigeria', 'Zambia']"
tatarica (L.),Acrididae,"['Botswana', 'Zambia']"
axillaris (Thunberg),Acrididae,['Niger']
cylindricollis (Schaum),Acrididae,['Zambia']
modica (Karsch),Acrididae,['']
africanus (Saussure),Acrididae,"['Congo', 'Niger']"
"determinatus procerus
(Gerstäcker)",Acrididae,['Niger']
"procerus (Gerstäcker)
syn",Acrididae,['Niger']
quadratus (Walker),Acrididae,['']
stylifer (Krauss),Acrididae,['Niger']
coerulescens (Stal),Acrididae,['']
guineensis (Krauss),Acrididae,['Congo']
daganensis Krauss,Acrididae,['']
africanus Uvarov,Acrididae,['Benin']
punctipennis (Walker),Acrididae,"['Congo', 'Togo']"
tenuicornis (Schaum),Acrididae,['Niger']
angulifera (Krauss),Acrididae,"['Niger', 'Sudan']"
amabile (Krauss),Acrididae,['']
cucullata (Stoll),Acrididae,['Botswana']
migratoria capito Sauss.,Acrididae,['Madagascar']
migratoria migratorioides (R. & F.),Acrididae,"['Congo', 'Sudan', 'South Sudan', 'Zimbabwe']"
pardalina (Walker),Acrididae,"['South Africa', 'Zambia']"
abbreviatus (Beauvois),Acrididae,['']
gracilipes (Brancsik),Acrididae,['']
fasciata (Thunberg),Acrididae,['Togo']
septemfasciata (Serville),Acrididae,"['Congo', 'Malawi', 'South Africa', 'Zambia', 'Zimbabwe']"
nigeriensis Uvarov,Acrididae,['']
nigrofasciatus (De Geer),Acrididae,['Zambia']
senegalensis (Krauss),Acrididae,"['Niger', 'Sudan', 'Togo']"
cavroisi (Finot),Acrididae,"['Benin', 'Burkina Faso', 'Congo', 'Mali', 'Niger', 'Togo']"
cyanea (Stoll),Acrididae,['Zimbabwe']
"turbida cavroisi (Finot)
syn",Acrididae,"['Congo', 'Niger']"
humilicrus (Karsch),Acrididae,['Niger']
venosa (Ramme),Acrididae,['']
congoensis (Sjöstedt),Acrididae,['Congo']
spissus (Walker),Acrididae,['Congo']
tricolor (Thunberg),Acrididae,"['Lesotho', 'Malawi']"
notatus (Karsch),Acrididae,['Congo']
inspida (Karsch),Acrididae,['']
gregaria (Forskål),Acrididae,"['Botswana', 'Congo', 'Ethiopia', 'Sudan', 'Uganda', 'South Africa', 'Zambia']"
haningtoni Uvarov,Acrididae,['']
festivus Karsch,Acrididae,['']
johnstoni Dirsh,Acrididae,['']
constrictus (Schaum),Acrididae,['Zimbabwe']
gracilipes Brancsik,Acrididae,['']
brunneri Bolivar,Anostostomatidae,['Congo']
whellani Chopard,Anostostomatidae,['Zimbabwe']
whellani (Chopard),Anostostomatidae,['Zimbabwe']
membranaceus (Drury),Gryllidae,"['Benin', 'Congo', 'Niger', 'Nigeria']"
bimaculatus DeGeer,Gryllidae,"['Benin', 'Congo', 'Liberia', 'Niger', 'Nigeria', 'Sierra Leone', 'Togo', 'Zambia']"
africana Palisot,Gryllotalpidae,"['Uganda', 'Zimbabwe']"
senegalensis Krauss,Pyrgomorphidae,['']
uvarovi (Rehn),Pyrgomorphidae,['Congo']
viridipes brunneri Bolivar,Pyrgomorphidae,"['Botswana', 'Congo', 'South Africa', 'Zambia', 'Zimbabwe']"
cognata Krauss,Pyrgomorphidae,['']
vignaudi (Guérin-M.),Pyrgomorphidae,['']
elegans (Thunberg),Pyrgomorphidae,"['Mozambique', 'South Africa']"
variegatus (L.),Pyrgomorphidae,"['Congo', 'Ghana', 'Niger', 'Nigeria']"
erosa (Karsch),Tettigoniidae,['']
abortivus (Serville),Tettigoniidae,['Benin']
vicinus (Walker),Tettigoniidae,['']
differens (Serville),Tettigoniidae,"['Congo', 'Malawi', 'Zambia']"
nitidulis vicinus (Walker),Tettigoniidae,['']
edulis (Labil.),Nephilidae,['New Caledonia']
edulis (Labil.),Nephilidae,['New Caledonia']
spinicollis (McLeay),Cerambycidae,['Australia']
cibarius Newman,Cerambycidae,['Australia']
edulis Newman,Cerambycidae,['Australia']
flavipilis Thomson,Cerambycidae,['Australia']
australis odewahni,Cerambycidae,['Australia']
severus Pascoe,Cerambycidae,['']
costatus Montrouzier,Cerambycidae,['']
reticularis White,Cerambycidae,['New Zealand']
mandibularis Ritsema,Cerambycidae,['']
costatus (Montrouzier),Cerambycidae,['']
bilineatus (Montr.),Dryophthorinae,['']
